emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,case_type
focused,1,80.31552121118149,49.54390827156272,0.3823360836541353,0.065,16.419,36.51,-0.014,-0.027,9.786,0.609,97.6,2025-07-16T19:04:12.079422,edge_case
excited,2,180.0,8.0,0.459,0.552,15.958,36.93,0.513,-0.368,9.472,0.677,95.9,2025-07-16T19:04:12.079583,edge_case
anxious,4,123.97778142393935,76.5799050513724,0.701,0.419,20.131,36.72,-0.653,-0.377,9.933,0.937,94.3,2025-07-16T19:04:12.079762,edge_case
fatigued,5,62.985,22.946,0.198,0.142,12.204,36.62,0.014,-0.126,9.868,0.471,97.2,2025-07-16T19:04:12.079919,edge_case
stressed,3,80.0,21.644,0.819,0.182,18.693,36.64,-0.048,0.08,9.804,0.292,96.6,2025-07-16T19:04:12.080069,edge_case
calm,0,79.82076470599785,39.78438846707238,0.2356975351205846,0.14,12.976,36.62,0.124,-0.091,9.786,0.707,97.5,2025-07-16T19:04:12.080221,edge_case
excited,2,180.0,8.0,0.8,0.572,20.001,36.96,1.023,-1.161,9.574,0.152,95.4,2025-07-16T19:04:12.080377,edge_case
fatigued,5,125.85285269192008,66.79298349553805,0.174,0.129,13.154,36.63,-0.091,-0.016,9.801,1.0,97.1,2025-07-16T19:04:12.080556,edge_case
excited,2,80.938,38.544,0.588,0.664,18.607,36.8,-0.077,-0.098,9.615,0.343,95.6,2025-07-16T19:04:12.080713,edge_case
focused,1,72.185,49.741,0.349,0.065,12.608,36.55,0.015,0.055,9.798,0.861,96.3,2025-07-16T19:04:12.080864,edge_case
excited,2,88.45159322406326,32.711220130255086,0.9194531755047557,0.459,17.463,37.04,0.166,0.126,10.051,0.931,95.5,2025-07-16T19:04:12.081013,edge_case
excited,2,180.0,8.0,0.551,0.588,15.534,36.87,0.183,0.623,9.568,0.771,96.0,2025-07-16T19:04:12.081167,edge_case
focused,1,125.69668403268278,69.6221483896816,0.436,0.044,13.976,36.61,-0.048,-0.018,9.826,0.675,96.1,2025-07-16T19:04:12.081347,edge_case
focused,1,75.775,65.257,0.381,0.014,12.607,36.71,-0.027,-0.012,9.799,0.264,96.2,2025-07-16T19:04:12.081505,edge_case
fatigued,5,65.109,30.483,0.15,0.086,14.058,36.54,-0.016,-0.007,9.79,0.159,96.6,2025-07-16T19:04:12.081654,edge_case
stressed,3,108.5183564338397,20.756372206607644,0.7626617325420914,0.274,26.959,37.02,-0.401,0.067,9.704,0.237,95.1,2025-07-16T19:04:12.081803,edge_case
fatigued,5,45.0,8.0,0.358,0.13,12.388,36.39,0.078,0.106,9.826,0.271,97.6,2025-07-16T19:04:12.081958,edge_case
focused,1,120.72169759578566,62.647713103487604,0.418,0.054,15.255,36.83,-0.046,0.032,9.78,0.682,96.4,2025-07-16T19:04:12.082137,edge_case
anxious,4,115.655,17.162,0.635,0.235,22.037,37.13,0.191,0.0,9.415,0.309,94.1,2025-07-16T19:04:12.082296,edge_case
focused,1,74.283,50.517,0.418,0.07,15.697,36.61,0.04,0.05,9.861,0.298,97.5,2025-07-16T19:04:12.082446,edge_case
stressed,3,113.85423743539732,23.960394516931913,0.6349590254879192,0.441,20.539,36.95,-0.638,0.347,9.916,0.456,95.7,2025-07-16T19:04:12.082603,edge_case
excited,2,180.0,8.0,0.519,0.388,14.401,37.0,-0.06,0.29,9.721,0.634,95.2,2025-07-16T19:04:12.082760,edge_case
focused,1,121.79092853360957,73.34022897315867,0.415,0.075,15.363,36.59,0.125,0.07,9.806,0.964,97.1,2025-07-16T19:04:12.082942,edge_case
stressed,3,94.194,24.574,0.5,0.295,20.673,36.86,0.256,0.155,9.686,0.185,96.4,2025-07-16T19:04:12.083099,edge_case
fatigued,5,60.49,27.767,0.286,0.162,15.282,36.53,0.212,-0.101,9.849,0.627,98.1,2025-07-16T19:04:12.083249,edge_case
excited,2,83.66634215270429,19.837274736800065,0.6502417806190502,0.38,24.0,37.18,-0.022,-0.157,9.92,0.933,94.7,2025-07-16T19:04:12.083398,edge_case
fatigued,5,180.0,90.0,0.194,0.174,12.536,36.65,-0.174,-0.169,9.762,0.215,97.7,2025-07-16T19:04:12.083553,edge_case
fatigued,5,116.95050104041948,71.5885448616266,0.253,0.05,11.557,36.55,-0.004,0.007,9.803,0.396,98.0,2025-07-16T19:04:12.083731,edge_case
anxious,4,88.36,18.158,0.64,0.428,23.188,37.03,-0.484,0.12,10.035,0.862,95.6,2025-07-16T19:04:12.083888,edge_case
stressed,3,97.581,19.875,0.781,0.407,28.0,37.16,-0.25,0.545,9.771,0.556,95.4,2025-07-16T19:04:12.084037,edge_case
excited,2,90.7686072229915,39.78956486982169,0.55480580482675,0.507,15.336,36.97,0.467,0.771,9.945,0.269,96.4,2025-07-16T19:04:12.084186,edge_case
stressed,3,180.0,90.0,0.827,0.1,23.648,36.66,0.002,0.063,9.795,0.195,95.5,2025-07-16T19:04:12.084341,edge_case
anxious,4,129.5432650175384,76.73786109047617,0.95,0.421,31.203,37.07,0.451,0.583,9.406,0.152,94.8,2025-07-16T19:04:12.084520,edge_case
stressed,3,103.279,12.508,0.583,0.39,28.0,37.09,0.224,-0.322,9.797,0.116,95.2,2025-07-16T19:04:12.084676,edge_case
anxious,4,85.965,17.41,0.717,0.338,20.413,36.89,0.522,-0.189,9.877,0.375,95.2,2025-07-16T19:04:12.084825,edge_case
stressed,3,87.03789412539909,15.595143369698132,0.5783034257072831,0.29,25.396,36.87,0.158,0.216,9.909,0.758,95.8,2025-07-16T19:04:12.084974,edge_case
focused,1,45.0,90.0,0.483,0.018,13.482,36.44,0.019,-0.02,9.787,0.749,96.6,2025-07-16T19:04:12.085133,edge_case
focused,1,111.22888650560195,70.97565357395541,0.366,0.064,16.352,36.58,-0.078,0.113,9.809,0.456,97.5,2025-07-16T19:04:12.085313,edge_case
calm,0,84.66,33.583,0.262,0.111,13.815,36.74,0.184,-0.007,9.773,0.28,96.6,2025-07-16T19:04:12.085472,edge_case
focused,1,66.89,52.774,0.395,0.058,17.855,36.56,-0.024,-0.096,9.786,0.603,97.9,2025-07-16T19:04:12.085627,edge_case
stressed,3,101.49024329316454,19.895840075248753,0.6041615504288297,0.191,16.0,37.1,-0.081,-0.158,9.619,0.67,96.1,2025-07-16T19:04:12.085778,edge_case
excited,2,180.0,8.0,0.4,0.365,17.789,36.92,-0.38,-0.266,9.798,0.878,96.5,2025-07-16T19:04:12.085933,edge_case
focused,1,120.1519801873707,70.76401765771863,0.369,0.054,14.518,36.64,0.036,0.031,9.813,0.795,95.8,2025-07-16T19:04:12.086113,edge_case
focused,1,74.826,46.36,0.337,0.044,15.126,36.62,-0.062,0.029,9.814,0.462,96.2,2025-07-16T19:04:12.086272,edge_case
anxious,4,91.457,12.14,0.763,0.364,26.908,36.96,-0.127,-0.03,9.964,0.316,96.0,2025-07-16T19:04:12.086421,edge_case
anxious,4,82.3964624291321,20.349610337519508,0.7978832637037923,0.434,20.368,36.91,-0.327,0.204,9.941,0.52,95.8,2025-07-16T19:04:12.086570,edge_case
fatigued,5,45.0,8.0,0.276,0.197,14.668,36.5,-0.094,0.224,9.91,0.509,96.3,2025-07-16T19:04:12.086726,edge_case
stressed,3,124.76327136358107,60.45105352982719,0.609,0.156,24.573,36.65,0.091,0.246,9.773,0.922,95.4,2025-07-16T19:04:12.086904,edge_case
stressed,3,97.123,22.235,0.642,0.18,20.314,37.06,-0.275,-0.053,9.541,0.17,94.8,2025-07-16T19:04:12.087084,edge_case
fatigued,5,66.242,30.934,0.197,0.287,12.111,36.85,0.254,-0.009,9.494,0.245,97.8,2025-07-16T19:04:12.087262,edge_case
stressed,3,90.30110188649739,29.397389965075135,0.665279777900259,0.301,20.243,36.77,0.32,0.243,9.931,0.96,95.4,2025-07-16T19:04:12.087411,edge_case
fatigued,5,180.0,8.0,0.373,0.139,15.438,36.43,0.104,-0.071,9.903,0.786,96.3,2025-07-16T19:04:12.087565,edge_case
fatigued,5,129.73911468955373,62.3688911452968,0.232,0.244,12.404,36.66,0.216,-0.557,9.752,0.938,98.0,2025-07-16T19:04:12.087744,edge_case
excited,2,99.86,40.984,0.74,0.234,24.0,37.07,0.169,0.3,9.764,0.539,95.6,2025-07-16T19:04:12.087902,edge_case
excited,2,92.095,28.991,0.714,0.512,18.367,36.95,0.272,-0.059,9.505,0.602,95.1,2025-07-16T19:04:12.088052,edge_case
fatigued,5,63.10474108039857,21.58274171561951,0.19865338972735366,0.138,12.272,36.53,0.093,-0.134,9.731,0.534,96.9,2025-07-16T19:04:12.088201,edge_case
excited,2,180.0,8.0,0.4,0.423,16.999,36.99,-0.293,0.546,10.069,0.296,96.5,2025-07-16T19:04:12.088357,edge_case
focused,1,115.91452923261461,72.54576371588912,0.445,0.051,13.36,36.66,0.038,0.032,9.783,0.45,97.1,2025-07-16T19:04:12.088537,edge_case
focused,1,76.767,52.481,0.26,0.025,14.269,36.59,-0.011,0.024,9.793,0.76,97.5,2025-07-16T19:04:12.088701,edge_case
focused,1,71.424,47.28,0.478,0.06,12.529,36.49,0.114,-0.005,9.809,0.384,96.4,2025-07-16T19:04:12.088852,edge_case
anxious,4,96.80651705307501,17.298224258931697,0.8520641635012173,0.15,19.157,36.75,-0.183,0.0,9.895,0.555,94.9,2025-07-16T19:04:12.089003,edge_case
stressed,3,45.0,8.0,0.81,0.204,16.0,36.78,-0.243,-0.219,9.915,0.395,94.5,2025-07-16T19:04:12.089158,edge_case
calm,0,128.32679118627127,72.7517453146739,0.295,0.072,13.802,36.49,0.072,-0.147,9.767,0.399,96.6,2025-07-16T19:04:12.089338,edge_case
focused,1,70.885,51.446,0.459,0.029,16.886,36.63,-0.014,0.025,9.815,0.746,95.8,2025-07-16T19:04:12.089496,edge_case
calm,0,61.865,45.586,0.295,0.122,12.147,36.59,0.012,0.028,9.854,0.192,97.7,2025-07-16T19:04:12.089647,edge_case
fatigued,5,79.97172687195886,14.260301964273804,0.30942440018055134,0.247,12.58,36.73,0.091,0.155,9.914,0.354,96.2,2025-07-16T19:04:12.089795,edge_case
focused,1,45.0,8.0,0.402,0.062,13.072,36.35,-0.002,0.01,9.82,0.284,96.4,2025-07-16T19:04:12.089952,edge_case
anxious,4,123.38974122375372,70.79961078090145,0.649,0.479,23.506,37.19,0.205,0.675,9.933,0.948,94.9,2025-07-16T19:04:12.090132,edge_case
stressed,3,98.941,17.857,0.549,0.38,24.884,36.98,-0.227,0.447,9.375,0.504,95.8,2025-07-16T19:04:12.090290,edge_case
stressed,3,111.995,19.831,0.874,0.549,20.655,37.32,-0.495,-0.629,9.769,0.864,94.8,2025-07-16T19:04:12.090439,edge_case
calm,0,66.4416387260547,53.697568218528865,0.17616271289362767,0.077,12.717,36.56,0.074,0.102,9.767,0.717,97.7,2025-07-16T19:04:12.090607,edge_case
excited,2,180.0,8.0,0.65,0.376,23.052,36.65,-0.286,0.593,9.793,0.569,95.5,2025-07-16T19:04:12.090846,edge_case
anxious,4,110.37222546401475,70.47870998383952,0.875,0.36,18.292,36.99,-0.455,0.068,9.664,0.794,94.7,2025-07-16T19:04:12.091028,edge_case
stressed,3,96.22,19.37,0.869,0.325,18.947,36.94,-0.168,-0.066,9.783,0.931,95.6,2025-07-16T19:04:12.091188,edge_case
focused,1,65.0,61.165,0.427,0.044,12.577,36.31,0.016,-0.038,9.761,0.943,97.1,2025-07-16T19:04:12.091342,edge_case
fatigued,5,60.093047738705984,29.769518245134957,0.35634721888836207,0.139,13.684,36.37,-0.004,-0.081,9.834,0.437,96.8,2025-07-16T19:04:12.091493,edge_case
anxious,4,180.0,90.0,0.879,0.177,26.383,36.93,0.024,0.014,9.793,0.39,94.9,2025-07-16T19:04:12.091650,edge_case
focused,1,110.93150950263818,76.54491614081185,0.478,0.033,15.455,36.46,0.009,0.023,9.772,0.757,96.6,2025-07-16T19:04:12.091837,edge_case
stressed,3,80.0,18.9,0.762,0.252,24.697,36.77,0.256,-0.298,9.72,0.679,95.7,2025-07-16T19:04:12.091996,edge_case
stressed,3,84.392,20.468,0.9,0.197,23.201,36.72,-0.053,0.009,9.883,0.768,95.0,2025-07-16T19:04:12.092145,edge_case
fatigued,5,58.143593284044016,21.826934561696643,0.22243523242405738,0.11,8.001,36.64,-0.051,0.052,9.792,0.122,98.0,2025-07-16T19:04:12.092294,edge_case
fatigued,5,180.0,8.0,0.233,0.201,9.228,36.51,-0.094,-0.069,9.81,0.447,98.0,2025-07-16T19:04:12.092450,edge_case
anxious,4,126.81308889554894,69.29489988812404,0.934,0.263,28.358,37.07,-0.342,0.396,9.725,0.872,94.6,2025-07-16T19:04:12.092628,edge_case
calm,0,67.636,50.727,0.251,0.103,16.912,36.45,-0.001,0.056,9.765,0.549,97.2,2025-07-16T19:04:12.092788,edge_case
anxious,4,106.955,14.814,0.768,0.364,18.0,37.06,-0.271,0.315,9.917,0.251,95.9,2025-07-16T19:04:12.092937,edge_case
excited,2,105.81033716029192,29.48286550453172,0.36866764409191866,0.234,18.441,36.93,0.107,0.071,9.865,0.196,95.3,2025-07-16T19:04:12.093086,edge_case
fatigued,5,45.0,90.0,0.286,0.132,8.979,36.48,0.095,0.133,9.855,0.508,97.3,2025-07-16T19:04:12.093241,edge_case
stressed,3,121.02031345326768,78.64683016742435,0.874,0.309,18.632,37.08,-0.56,0.219,9.682,0.109,95.0,2025-07-16T19:04:12.093421,edge_case
stressed,3,88.119,18.014,0.577,0.462,18.306,36.84,0.076,0.694,9.859,0.606,96.7,2025-07-16T19:04:12.093578,edge_case
excited,2,107.207,41.529,0.687,0.403,19.166,37.03,-0.224,-0.343,9.847,0.315,95.8,2025-07-16T19:04:12.093727,edge_case
anxious,4,125.90159093152047,15.909933742621106,0.6633358746546518,0.494,18.0,37.09,-0.355,-0.887,9.368,0.421,95.4,2025-07-16T19:04:12.093876,edge_case
focused,1,45.0,90.0,0.501,0.075,16.404,36.53,0.033,0.054,9.787,0.793,96.0,2025-07-16T19:04:12.094033,edge_case
anxious,4,128.77175033565027,60.87235178431006,0.6,0.263,31.056,37.15,0.06,0.0,9.733,0.788,94.6,2025-07-16T19:04:12.094214,edge_case
stressed,3,90.971,21.896,0.731,0.227,18.515,36.73,0.06,-0.203,10.018,0.903,95.7,2025-07-16T19:04:12.094372,edge_case
stressed,3,109.503,12.992,0.9,0.437,16.0,37.21,0.205,-0.564,10.215,0.595,95.5,2025-07-16T19:04:12.094522,edge_case
fatigued,5,69.97575272081278,26.6833602458014,0.24151772082170814,0.096,16.0,36.54,-0.011,-0.068,9.81,0.412,96.6,2025-07-16T19:04:12.094672,edge_case
anxious,4,180.0,90.0,0.861,0.296,23.445,36.93,-0.161,-0.155,10.083,0.742,94.4,2025-07-16T19:04:12.094832,edge_case
calm,0,121.61444236501636,78.55775539759664,0.342,0.07,16.394,36.28,0.007,0.072,9.785,0.412,96.5,2025-07-16T19:04:12.095012,edge_case
anxious,4,111.672,18.287,0.819,0.257,20.192,37.13,-0.146,0.308,9.887,0.354,95.2,2025-07-16T19:04:12.095171,edge_case
focused,1,78.247,40.383,0.441,0.039,13.871,36.7,-0.021,0.047,9.808,0.325,96.4,2025-07-16T19:04:12.095331,edge_case
calm,0,48.8455403303111,61.47042457481045,0.31014262573242596,0.12,12.583,36.42,0.055,-0.07,9.711,0.603,97.7,2025-07-16T19:04:12.095484,edge_case
fatigued,5,45.0,90.0,0.251,0.063,12.187,36.35,-0.097,0.066,9.841,0.614,97.6,2025-07-16T19:04:12.095641,edge_case
fatigued,5,122.54395123335242,75.18428246782906,0.225,0.234,15.197,36.82,-0.028,-0.176,9.742,0.729,97.0,2025-07-16T19:04:12.095821,edge_case
calm,0,72.731,51.276,0.242,0.196,14.193,36.51,-0.037,0.166,9.767,0.391,96.8,2025-07-16T19:04:12.095979,edge_case
stressed,3,94.538,12.472,0.9,0.403,18.223,36.92,-0.074,-0.301,9.73,0.479,95.6,2025-07-16T19:04:12.096130,edge_case
stressed,3,89.93205212472046,23.03528587428207,0.48218871046891376,0.329,17.778,37.0,0.153,0.011,9.884,0.732,95.5,2025-07-16T19:04:12.096279,edge_case
stressed,3,45.0,90.0,0.832,0.1,16.0,36.72,-0.134,-0.011,9.817,0.63,95.0,2025-07-16T19:04:12.096435,edge_case
stressed,3,125.38960583689337,68.36661802958864,0.638,0.365,24.656,36.9,0.902,0.115,9.539,0.55,96.7,2025-07-16T19:04:12.096614,edge_case
stressed,3,100.667,17.957,0.789,0.252,16.765,36.85,0.167,0.252,9.937,0.912,94.1,2025-07-16T19:04:12.096772,edge_case
calm,0,83.296,65.0,0.381,0.138,14.107,36.77,0.05,0.014,9.611,0.176,96.3,2025-07-16T19:04:12.096922,edge_case
anxious,4,90.85314680041657,22.890093292062577,0.926440428749631,0.191,18.0,36.86,0.098,-0.153,9.749,0.39,95.6,2025-07-16T19:04:12.097072,edge_case
stressed,3,180.0,90.0,0.9,0.244,17.177,37.02,0.359,0.513,9.71,0.196,95.4,2025-07-16T19:04:12.097228,edge_case
stressed,3,112.029939796345,70.35579008669431,0.746,0.243,20.105,36.79,0.195,-0.13,9.764,0.294,95.6,2025-07-16T19:04:12.097406,edge_case
anxious,4,130.0,14.649,0.742,0.442,20.973,37.21,0.562,-0.346,9.635,0.811,94.3,2025-07-16T19:04:12.097563,edge_case
anxious,4,85.0,21.148,0.95,0.432,18.0,36.77,0.151,-0.11,9.913,0.846,95.4,2025-07-16T19:04:12.097713,edge_case
anxious,4,93.26940538270334,17.64313693531078,0.639355486793459,0.417,18.0,36.9,0.43,-0.794,9.946,0.719,96.2,2025-07-16T19:04:12.097865,edge_case
stressed,3,45.0,90.0,0.872,0.355,23.084,37.02,-0.282,0.186,9.711,0.275,95.3,2025-07-16T19:04:12.098021,edge_case
excited,2,117.36948865725863,73.83893211673818,0.761,0.522,14.405,36.86,-0.348,-0.057,9.772,0.425,95.9,2025-07-16T19:04:12.098199,edge_case
fatigued,5,68.743,18.069,0.289,0.182,10.464,36.57,0.156,0.212,9.748,0.705,97.2,2025-07-16T19:04:12.098357,edge_case
calm,0,72.281,44.99,0.33,0.0,15.41,36.42,0.0,0.0,9.8,0.689,97.3,2025-07-16T19:04:12.098507,edge_case
fatigued,5,62.75941384101938,20.88297045871168,0.1725498304605011,0.269,8.684,36.52,-0.131,0.062,9.752,0.501,98.7,2025-07-16T19:04:12.098657,edge_case
excited,2,45.0,90.0,0.471,0.424,14.717,36.84,-0.177,-0.012,9.731,0.318,95.0,2025-07-16T19:04:12.098814,edge_case
focused,1,110.74451480691862,68.22684166791642,0.317,0.046,12.147,36.7,-0.04,-0.047,9.756,0.691,97.0,2025-07-16T19:04:12.098997,edge_case
excited,2,86.882,40.896,0.59,0.229,17.767,36.77,-0.006,0.089,9.82,0.932,96.0,2025-07-16T19:04:12.099156,edge_case
focused,1,69.878,53.149,0.421,0.061,12.0,36.55,-0.007,0.045,9.773,0.747,96.2,2025-07-16T19:04:12.099307,edge_case
calm,0,68.45206278115796,68.63654289071864,0.3885111001831714,0.101,17.277,36.62,-0.146,-0.007,9.838,0.305,96.6,2025-07-16T19:04:12.099458,edge_case
excited,2,180.0,90.0,0.574,0.36,19.689,36.85,0.752,0.513,9.811,0.46,96.4,2025-07-16T19:04:12.099614,edge_case
calm,0,112.88070454537181,77.3927656835302,0.365,0.154,11.949,36.41,-0.093,-0.348,9.768,0.789,96.7,2025-07-16T19:04:12.099795,edge_case
calm,0,66.327,37.415,0.214,0.113,13.812,36.51,0.115,-0.191,9.824,0.409,97.0,2025-07-16T19:04:12.099954,edge_case
calm,0,76.193,60.999,0.255,0.143,15.194,36.73,0.068,0.305,9.712,0.897,96.8,2025-07-16T19:04:12.100105,edge_case
stressed,3,109.02843072390095,23.630721608492408,0.7073247620590838,0.245,16.0,37.09,-0.407,-0.211,9.962,0.251,94.7,2025-07-16T19:04:12.100255,edge_case
fatigued,5,45.0,90.0,0.15,0.055,9.793,36.46,0.014,0.004,9.808,0.111,98.2,2025-07-16T19:04:12.100410,edge_case
focused,1,122.2571980229844,68.14092523831843,0.454,0.071,14.906,36.66,0.02,-0.059,9.77,0.407,96.3,2025-07-16T19:04:12.100592,edge_case
excited,2,75.0,39.023,0.513,0.374,15.507,36.78,-0.299,-0.617,9.908,0.295,96.4,2025-07-16T19:04:12.100750,edge_case
fatigued,5,66.779,25.408,0.175,0.12,12.805,36.48,-0.189,-0.139,9.799,0.892,97.6,2025-07-16T19:04:12.100899,edge_case
